momentum [MeV/c]	total energy [MeV]	kinetic energy [MeV]	\gamma	\beta	drf1 [m]	drf2 [m]	elcRds [m]	bending angle [dgr]	inc angle in [dgr]	inc angle out [dgr]	fringe extend ups [m]	fringe extend dws [m]	fringe backoff [m]	side logic	front screen [m]	side screen [m]	bending angle at front screen [dgr]	bending angle at side screen [dgr]	total path [m]	max B [T]	eff length ups [m]	eff length dws [m]	ups boundary s [m]	center s [m]	dws boundary s [m]	ups Enge 0	ups Enge 1	ups Enge 2	ups Enge 3	ups Enge 4	ups Enge 5	dws Enge 0	dws Enge 1	dws Enge 2	dws Enge 3	dws Enge 4	dws Enge 5	ups fit cost	ups normalized cost	ups fit error	dws fit cost	dws normalized cost	dws fit error	x[mm](rms)	xp[mm](rms)	y[mm](rms)	yp[mm](rms)	"x[mm](rms,b)"	"xp[mm](rms,b)"	"y[mm](rms,b)"	"yp[mm](rms,b)"	x conv fct rms	y conv fct rms	momentum rsl rms [%]	x[mm](fwhm)	xp[mm](fwhm)	y[mm](fwhm)	yp[mm](fwhm)	"x[mm](fwhm,b)"	"xp[mm](fwhm,b)"	"y[mm](fwhm,b)"	"yp[mm](fwhm,b)"	x conv fct fwhm	y conv fct fwhm	momentum rsl [%/mrad]	peak momentum error [%]	arc Coeff [MeV/mm2]
1.2	1.304269926	0.793270866	2.552392026	0.920054949	11.43024679	0	0.189084623	107.0000806	-18.29304173	-30.58934942	0.161746787	0	0.273010427	1	0.252025944	-0.963350419	90.00832329	-8.566846035	11.70135259	0.021169194	0.216249378	0.137366855	11.43024679	11.64649617	11.78386302	0.404480057	0.354681541	-0.02748348	0.005225199	-0.001288484	0.000145651	0.000221268	0.932667639	-0.000531069	0.000512062	-0.0000586	0.021622951	0.003625583	0.346481591	0.0001749	0.009541714	3.568329783	-0.000238111	1.0383	11.7193	6.0133	15.6325	2.3904	0.20201	2.2991	0.19648	0.43436	2.6155	0.79256	1.528	24.2799	13.1035	34.1171	4.7747	0.405	4.7357	0.40472	0.32001	2.767	5.885	0.02453	-1.14E-05
1.438	1.526094374	1.015095314	2.986491549	0.942274622	11.45907409	0	0.185791874	107.2323423	-18.42224273	-32.6032639	0.190574088	0	0.271652065	1	0.25124106	-0.93772351	89.95747963	-8.467547634	11.72614219	0.025817338	0.210421031	0.137799134	11.45907409	11.66949512	11.80729425	0.451367913	0.365613012	-0.03057294	0.006542391	-0.001433686	0.000129117	0.000847244	0.980627517	-0.000356781	0.000879301	-0.0000736	0.023215803	0.003070834	0.283078362	0.00016613	0.005705918	2.133851197	-0.000194421	0.96785	12.1041	5.8399	14.9458	2.3722	0.2001	2.3563	0.20094	0.40799	2.4784	0.68991	1.4401	25.1761	12.2034	30.8776	3.4402	0.40865	4.7493	0.40538	0.41861	2.5695	4.73615	0.027964	-1.48E-05
1.676	1.752168953	1.241169893	3.428908368	0.956528762	11.48195522	0	0.183506158	107.3353131	-18.28261769	-30.46878732	0.213455217	0	0.269754981	1	0.250420044	-0.916633537	89.95142253	-8.232976652	11.74697234	0.030465104	0.204537267	0.139734841	11.48195522	11.68649248	11.82622733	0.487109468	0.37671013	-0.033735449	0.007806251	-0.001576468	0.000122453	0.001888978	0.918221399	-0.000272457	0.001535928	-0.000113146	0.014962124	0.003408521	0.306963384	0.000227167	0.004481182	1.675834868	-0.000174256	1.0356	12.3588	6.0571	16.2332	2.39	0.20136	2.3349	0.19877	0.43331	2.5941	0.76612	1.5447	25.5093	12.9119	34.3623	3.3341	0.40379	4.7702	0.40649	0.46332	2.7068	5.1275	0.031001	-2.35E-05
1.914	1.981039131	1.470040071	3.876796038	0.966159613	11.50010537	0	0.182945832	107.107103	-18.38147936	-28.73714986	0.231605366	0	0.268183434	1	0.250977208	-0.898617999	90.0138236	-8.177552367	11.76491567	0.034897853	0.199139805	0.143353937	11.50010537	11.69924517	11.84259911	0.512046112	0.387404561	-0.037110975	0.009083906	-0.001719325	0.000120217	0.003757697	0.900437253	-0.000285078	0.002320926	-0.00014298	0.012454748	0.003603096	0.318970978	0.000291092	0.004098663	1.53278341	-0.000329594	1.091	12.3854	6.2941	17.5182	2.3968	0.20166	2.3303	0.19807	0.4552	2.701	0.81697	1.6785	26.1449	13.4721	37.9354	3.6023	0.40813	4.7785	0.40684	0.46595	2.8193	5.779	0.033176	-3.06E-05
2.152	2.211837254	1.700838194	4.328456601	0.97294681	11.51622934	0	0.181462488	106.7069589	-18.26094791	-27.52865593	0.247729343	0	0.264563573	1	0.251274332	-0.883071582	89.95632896	-8.080523477	11.78061929	0.039558034	0.193272517	0.145181001	11.51622934	11.70950186	11.85468286	0.536486096	0.397884998	-0.040735021	0.010075663	-0.001776653	0.000114283	0.005380301	0.791271576	-0.001759411	0.003121444	-0.000225537	0.006777159	0.004145562	0.361868192	0.000314584	0.00370127	1.406257594	-0.000205231	1.1219	12.7529	6.7819	21.0287	2.4083	0.2024	2.3356	0.19826	0.46586	2.9037	0.83952	1.7891	26.3831	14.42	44.5907	3.4216	0.40399	4.7292	0.40285	0.52289	3.0491	6.383	0.026529	-3.49E-05
2.39	2.444017193	1.933018133	4.782821309	0.977898194	11.53048469	0	0.180341134	106.1555462	-18.2493207	-25.74263679	0.261984695	0	0.261113255	1	0.252392484	-0.86946993	90.00525847	-7.99527303	11.79450096	0.04420612	0.188258042	0.146371482	11.53048469	11.71874274	11.86511422	0.553629081	0.409323241	-0.045206823	0.011082393	-0.001808012	0.000107652	0.010801582	0.753425947	-0.0021098	0.003908941	-0.000356158	0.006435136	0.004474398	0.384134428	0.000349922	0.002772613	1.053424364	-0.00029563	1.1524	12.6861	7.1603	23.6045	2.3874	0.20045	2.3474	0.19902	0.48269	3.0504	0.88005	1.7355	27.148	14.9677	49.1491	3.4282	0.40532	4.766	0.40489	0.50625	3.1405	6.342	0.037078	-4.34E-05
2.628	2.67721946	2.1662204	5.239186664	0.981615455	11.54276757	0	0.179113789	105.5245918	-18.05697815	-23.64866811	0.274267571	0	0.25675667	1	0.253499473	-0.857464469	90.03478518	-7.899931406	11.806894	0.048941315	0.183732446	0.146650656	11.54276757	11.72650002	11.87315067	0.572299517	0.425138533	-0.050098182	0.012185771	-0.001898045	0.000107909	0.015945484	0.711784151	-0.003560948	0.005282352	-0.000748838	0.006055952	0.005010913	0.43019511	0.000395599	0.002213273	0.836460121	-0.000123626	1.1677	12.4504	7.7043	27.1145	2.3578	0.1978	2.3819	0.20173	0.49526	3.2346	0.94427	1.8977	26.5333	15.9659	56.468	3.4281	0.41187	4.7802	0.40438	0.55356	3.34	7.0825	0.038085	-4.85E-05
2.866	2.911198385	2.400199325	5.6970719	0.984474303	11.55446748	0	0.177724798	104.8147209	-17.87289756	-23.70936665	0.285967478	0	0.252502582	1	0.254803819	-0.84668655	90.04363054	-7.846872134	11.81808788	0.053790732	0.178782408	0.146840581	11.55446748	11.73324989	11.88009047	0.580603051	0.430246944	-0.051830828	0.012825211	-0.001948338	0.000105698	0.035437516	0.651970615	-0.005020415	0.010208556	-0.001638251	0.004678717	0.005077789	0.426561537	0.000434832	0.002341584	0.880294712	-0.000112924	1.1581	12.8001	7.6477	28.143	2.3785	0.19937	2.3388	0.1979	0.48692	3.27	0.92134	1.8042	27.232	16.0337	58.8419	3.4354	0.40123	4.8585	0.41254	0.52519	3.3001	7.0775	0.059996	-5.04E-05
3.104	3.145780672	2.634781612	6.156137885	0.986718504	11.56450017	0	0.176657327	104.077911	-17.70169379	-23.69489781	0.29600017	0	0.248152171	1	0.256142878	-0.836991443	90.03265762	-7.803926819	11.82824643	0.058609681	0.174747669	0.146650759	11.56450017	11.73924784	11.8858986	0.593366242	0.442359435	-0.056265194	0.01405415	-0.002073018	0.000108577	0.060087171	0.627268775	-0.010887361	0.010636873	-0.002535124	0.004626446	0.005862004	0.491119655	0.000478889	0.002426425	0.902687695	-0.0000184	1.1481	12.8186	7.8732	29.9377	2.365	0.19809	2.3837	0.20152	0.48545	3.3029	0.95418	1.7123	27.193	16.3962	61.8899	3.4988	0.40438	4.8403	0.40976	0.48938	3.3874	6.88	0.040726	-5.61E-05
3.342	3.38084073	2.86984167	6.616138843	0.988511517	11.57380813	0	0.175401402	103.307507	-17.86843655	-23.31410473	0.305308125	0	0.243537323	1	0.257356522	-0.828197483	89.96402821	-7.781182346	11.83752938	0.063555433	0.170933678	0.145824896	11.57380813	11.7447418	11.8905667	0.604512742	0.447112141	-0.05895848	0.014929172	-0.002141953	0.000107824	0.0849794	0.594983353	-0.014269414	0.01747513	-0.004239411	0.004133203	0.006611576	0.546591938	0.000498348	0.002322419	0.855087842	-0.0000694	1.1758	13.1966	8.0988	32.1589	2.4059	0.20137	2.392	0.20207	0.48871	3.3858	0.959	1.7651	27.3323	16.4226	65.4649	3.4314	0.40523	4.8197	0.40745	0.51441	3.4074	7.3045	0.020713	-6.09E-05
