cam number	FOV [mm]	Left edge [mm]	ROI Y offset	ROI height	ROI X offset	ROI width	Y center pixel	Y Start	Y End	X Start	X End	rot [deg]
1	126.3	87.2	250	500	0	1384	267	89	445	99	650	0.35
2	130.1	208.2	250	500	0	1384	265	91	439	32	1384	0
3	246.7	1675.2	350	300	0	1384	158.5	42	274	57	1384	0.2
4	265.8	1438.1	340	300	0	1384	162	57	267	50	1384	0.22
5	257.2	1178.6	350	300	0	1384	163	55	271	34	1355	0
6	266.4	882.7	330	300	0	1384	160	54	264	100	1384	0.1
7	253.6	621	320	300	0	1384	172.5	62	282	26	1384	0.1
8	286.8	381.7	320	300	0	1384	162	64	260	70	1384	0.05
9	249.2	102.6	320	300	0	1384	161	48	275	43	1384	0
10	268.9	-136.2	360	300	0	1384	157.5	53	263	54	1384	0
11	247.7	-399.3	320	300	0	1384	148	33	260	33	1384	-0.1
12	257.6	-633.4	310	300	0	1384	148	40	257	74	1378	0.25
13	157.48	290	180	700	400	600	340	1	690	60	560	1
